m,stroke_ratio_m
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0025412960609911056
50,0.0025412960609911056
51,0.0025412960609911056
52,0.0025412960609911056
53,0.0025412960609911056
54,0.0025412960609911056
55,0.0025412960609911056
56,0.0025412960609911056
57,0.0025412960609911056
58,0.0038119440914866584
59,0.007623888182973317
60,0.011435832274459974
61,0.015247776365946633
62,0.017789072426937738
63,0.020330368487928845
64,0.022871664548919948
65,0.0241423125794155
66,0.025412960609911054
67,0.026683608640406607
68,0.02795425667090216
69,0.029224904701397714
70,0.03303684879288437
71,0.03430749682337993
72,0.036848792884371026
73,0.03939008894536213
74,0.04193138500635324
75,0.044472681067344345
76,0.04955527318932656
77,0.05590851334180432
78,0.05972045743329098
79,0.06734434561626429
80,0.07496823379923762
81,0.08259212198221093
82,0.09021601016518424
83,0.09783989834815757
84,0.10673443456162643
85,0.1156289707750953
86,0.12325285895806862
87,0.13087674714104194
88,0.13850063532401524
89,0.14612452350698857
90,0.156289707750953
91,0.16518424396442186
92,0.17407878017789072
93,0.18424396442185514
94,0.19567979669631513
95,0.20584498094027953
96,0.21601016518424396
97,0.22490470139771285
98,0.23761118170266837
99,0.2503176620076239
100,0.2617534942820839
101,0.2731893265565438
102,0.28589580686149935
103,0.29733163913595934
104,0.31003811944091486
105,0.3354510800508259
106,0.3748411689961881
107,0.4243964421855146
108,0.49809402795425667
109,0.5692503176620076
110,0.6442185514612452
111,0.7128335451080051
112,0.7662007623888183
113,0.8017789072426937
114,0.8221092757306226
115,0.832274459974587
116,0.8373570520965693
117,0.8424396442185514
118,0.8475222363405337
119,0.8526048284625158
120,0.8576874205844981
121,0.8627700127064803
122,0.8678526048284625
123,0.8729351969504447
124,0.8780177890724269
125,0.8831003811944091
126,0.8881829733163914
127,0.8945362134688691
128,0.8996188055908514
129,0.9047013977128335
130,0.9097839898348158
131,0.9148665819567979
132,0.9199491740787802
133,0.9263024142312579
134,0.9326556543837357
135,0.9377382465057179
136,0.9428208386277002
137,0.9491740787801779
138,0.9567979669631512
139,0.963151207115629
140,0.9682337992376112
141,0.974587039390089
142,0.9809402795425667
143,0.9872935196950444
144,0.9923761118170267
145,0.9974587039390089
146,1.0
147,1.0
148,1.0
149,1.0
150,1.0
151,1.0
152,1.0
153,1.0
154,1.0
155,1.0
156,1.0
157,1.0
158,1.0
159,1.0
160,1.0
161,1.0
162,1.0
163,1.0
164,1.0
165,1.0
166,1.0
167,1.0
168,1.0
169,1.0
170,1.0
171,1.0
172,1.0
173,1.0
174,1.0
175,1.0
176,1.0
177,1.0
178,1.0
179,1.0
180,1.0
181,1.0
182,1.0
183,1.0
184,1.0
185,1.0
186,1.0
187,1.0
188,1.0
