n,stroke_ratio_n
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.007623888182973317
37,0.020330368487928845
38,0.03811944091486658
39,0.06480304955527319
40,0.10165184243964422
41,0.14358322744599747
42,0.18678526048284624
43,0.22998729351969505
44,0.2668360864040661
45,0.31003811944091486
46,0.3443456162642948
47,0.3697585768742058
48,0.397712833545108
49,0.4142312579415502
50,0.42312579415501905
51,0.42820838627700125
52,0.4332909783989835
53,0.4383735705209657
54,0.44472681067344344
55,0.4498094027954257
56,0.4548919949174079
57,0.4599745870393901
58,0.4650571791613723
59,0.4701397712833545
60,0.47522236340533675
61,0.48030495552731894
62,0.48538754764930114
63,0.49047013977128334
64,0.49555273189326554
65,0.5019059720457433
66,0.5082592121982211
67,0.5133418043202033
68,0.5184243964421855
69,0.5235069885641678
70,0.5285895806861499
71,0.5336721728081322
72,0.5387547649301143
73,0.5438373570520966
74,0.5489199491740788
75,0.554002541296061
76,0.5590851334180432
77,0.5641677255400254
78,0.5692503176620076
79,0.5756035578144854
80,0.5819567979669632
81,0.5883100381194409
82,0.5933926302414231
83,0.5984752223634053
84,0.6035578144853876
85,0.6086404066073697
86,0.613722998729352
87,0.6188055908513341
88,0.6238881829733164
89,0.6289707750952986
90,0.6340533672172808
91,0.639135959339263
92,0.6442185514612452
93,0.6493011435832274
94,0.6543837357052097
95,0.6594663278271918
96,0.6632782719186785
97,0.6670902160101652
98,0.6709021601016518
99,0.6759847522236341
100,0.6810673443456162
101,0.6861499364675985
102,0.6912325285895807
103,0.6963151207115629
104,0.7013977128335451
105,0.7064803049555273
106,0.7128335451080051
107,0.7191867852604829
108,0.7293519695044473
109,0.7395171537484116
110,0.7496823379923762
111,0.7623888182973316
112,0.7750952986022872
113,0.7878017789072427
114,0.8005082592121983
115,0.8132147395171537
116,0.8246505717916137
117,0.8386277001270648
118,0.8513341804320204
119,0.8640406607369758
120,0.8754764930114358
121,0.8881829733163914
122,0.9008894536213469
123,0.9123252858958069
124,0.9212198221092758
125,0.9326556543837357
126,0.9466327827191868
127,0.9593392630241423
128,0.9707750952986023
129,0.9809402795425667
130,0.9898348157560356
131,0.9961880559085133
132,1.0
133,1.0
134,1.0
135,1.0
136,1.0
137,1.0
138,1.0
139,1.0
140,1.0
141,1.0
142,1.0
143,1.0
144,1.0
145,1.0
146,1.0
147,1.0
148,1.0
149,1.0
150,1.0
151,1.0
152,1.0
153,1.0
154,1.0
155,1.0
156,1.0
157,1.0
158,1.0
159,1.0
160,1.0
161,1.0
162,1.0
163,1.0
164,1.0
165,1.0
166,1.0
167,1.0
168,1.0
169,1.0
170,1.0
171,1.0
172,1.0
173,1.0
174,1.0
175,1.0
176,1.0
177,1.0
178,1.0
179,1.0
180,1.0
181,1.0
182,1.0
183,1.0
184,1.0
185,1.0
186,1.0
187,1.0
188,1.0
